ha08-api,0.48%,123.8MiB / 1GiB
k8s_storage-provisioner_storage-provisioner_kube-system_11526056-b6c6-4832-83b0-66e72c748115_58,0.04%,5.426MiB / 7.654GiB
k8s_kube-apiserver_kube-apiserver-docker-desktop_kube-system_647244f1c75810d936baf4253b7903ef_12,3.20%,209.1MiB / 7.654GiB
k8s_POD_kube-apiserver-docker-desktop_kube-system_647244f1c75810d936baf4253b7903ef_13,0.00%,192KiB / 7.654GiB
k8s_kube-scheduler_kube-scheduler-docker-desktop_kube-system_b44739859c757a4712b786569a89a1f3_56,0.89%,23.61MiB / 7.654GiB
k8s_POD_kube-scheduler-docker-desktop_kube-system_b44739859c757a4712b786569a89a1f3_13,0.00%,192KiB / 7.654GiB
k8s_coredns_coredns-66bc5c9577-ct4zt_kube-system_57fa78ed-9d5a-4cd9-949f-04f1a2a8ffd0_12,0.20%,16.24MiB / 170MiB
k8s_POD_coredns-66bc5c9577-ct4zt_kube-system_57fa78ed-9d5a-4cd9-949f-04f1a2a8ffd0_13,0.00%,516KiB / 7.654GiB
k8s_etcd_etcd-docker-desktop_kube-system_0b753cb7812d40a401f3a8f63b18f779_11,1.89%,49.62MiB / 7.654GiB
k8s_coredns_coredns-66bc5c9577-9cfl5_kube-system_da705175-8113-4818-bf91-2dfe6fd70fb4_12,0.24%,16.49MiB / 170MiB
k8s_POD_etcd-docker-desktop_kube-system_0b753cb7812d40a401f3a8f63b18f779_13,0.00%,192KiB / 7.654GiB
k8s_POD_coredns-66bc5c9577-9cfl5_kube-system_da705175-8113-4818-bf91-2dfe6fd70fb4_13,0.00%,516KiB / 7.654GiB
k8s_kube-controller-manager_kube-controller-manager-docker-desktop_kube-system_10b0d524eef4b9a12d5827ba17a36f4f_12,1.35%,46.18MiB / 7.654GiB
k8s_vpnkit-controller_vpnkit-controller_kube-system_7f3d25de-7af0-47d5-acd9-b4a0e0a380dd_12,0.04%,9.543MiB / 7.654GiB
k8s_kube-proxy_kube-proxy-bdbsh_kube-system_08c0b432-d8bf-40e0-b8f9-cb089b6be288_12,0.16%,13.71MiB / 7.654GiB
k8s_POD_kube-controller-manager-docker-desktop_kube-system_10b0d524eef4b9a12d5827ba17a36f4f_13,0.00%,192KiB / 7.654GiB
k8s_POD_vpnkit-controller_kube-system_7f3d25de-7af0-47d5-acd9-b4a0e0a380dd_13,0.00%,512KiB / 7.654GiB
k8s_POD_kube-proxy-bdbsh_kube-system_08c0b432-d8bf-40e0-b8f9-cb089b6be288_13,0.00%,320KiB / 7.654GiB
k8s_POD_storage-provisioner_kube-system_11526056-b6c6-4832-83b0-66e72c748115_13,0.00%,512KiB / 7.654GiB
ha08-simulator,1.28%,20.66MiB / 512MiB
ha08-projector,1.00%,29.2MiB / 512MiB
ha08-postgres,4.94%,178.6MiB / 2GiB
ha08-redis,0.61%,36.25MiB / 512MiB
ha08-prometheus,0.00%,36.31MiB / 512MiB
ha08-grafana,0.02%,109.5MiB / 512MiB
ha08-redpanda,1.37%,440.9MiB / 1GiB
202620-misw4412-grupo43-api-1,1.97%,64.08MiB / 7.654GiB
